author,title,doi,article_type,lang,pdf_url,keywords,review_url,code_url,volume,issue,year
['Benjamin Džubur'],[Re] A Cluster-based Approach for Improving Isotropy in Contextual Embedding Space,10.5281/zenodo.6574649,Replication,Python,https://zenodo.org/record/6574649/files/article.pdf,rescience c machine learning natural language processing python,https://openreview.net/forum?id=rxWeB3zQ2CY,https://github.com/Benidzu/isotropy_reproduction,8,2,2022
"['Erica Eaton', 'Pirouz Naghavi']","[Re] Reproduction and Extension of ""Queens are Powerful too: Mitigating Gender Bias in Dialogue Generation""",10.5281/zenodo.6574651,Replication,Python,https://zenodo.org/record/6574651/files/article.pdf,rescience c machine learning natural language processing deep learning python bias mitigation,https://openreview.net/forum?id=StblE2MQ3AY,https://github.com/Pnaghavi/Mitigating-Gender-Bias-in-Generated-Text,8,2,2022
"['Floor Eijkelboom', 'Mark Fokkema', 'Anna Lau', 'Luuk Verheijen']",[Re] Reproduction Study of Variational Fair Clustering,10.5281/zenodo.6574653,Replication,Python,https://zenodo.org/record/6574653/files/article.pdf,rescience c machine learning python pytorch clustering fairness,https://openreview.net/forum?id=rq8fRhMm20F,https://github.com/MarkiemarkF/FACT,8,2,2022
"['Chase van de Geijn', 'Victor Kyriacou', 'Irene Papadopoulou', 'Vasiliki Vasileiou']",[Re] Explaining in Style: Training a GAN to explain a classifier in StyleSpace,10.5281/zenodo.6574655,Replication,Python,https://zenodo.org/record/6574655/files/article.pdf,rescience c machine learning deep learning python pytorch,https://openreview.net/forum?id=SK8gAhfX2AK,https://github.com/irenepap2/Re_StylEx.git,8,2,2022
['Ian Hardy'],[Re] An Implementation of Fair Robust Learning,10.5281/zenodo.6574657,Replication,Python,https://zenodo.org/record/6574657/files/article.pdf,rescience c machine learning deep learning python pytorch adversarial training fairness robustness,https://openreview.net/forum?id=Sczshz7h0K,https://github.com/Ian-Hardy/Fair_Robust_Modeling,8,2,2022
"['Tobias Höppe', 'Agnieszka Miszkurka', 'Dennis Bogatov Wilkman']",[Re] Understanding Self-Supervised Learning Dynamics without Contrastive Pairs,10.5281/zenodo.6574659,Replication,Python,https://zenodo.org/record/6574659/files/article.pdf,rescience c machine learning deep learning python pytorch,https://openreview.net/forum?id=r4xe3nMQ3AY,https://github.com/miszkur/SelfSupervisedLearning,8,2,2022
"['Richard Jiles', 'Mohna Chakraborty']",[Re] Domain Generalization using Causal Matching,10.5281/zenodo.6574661,Replication,Python,https://zenodo.org/record/6574661/files/article.pdf,rescience c machine learning deep learning python pytorch,https://openreview.net/forum?id=r43elaGmhCY,https://github.com/rjiles/causalmatching,8,2,2022
"['Isa-Ali Kirca', 'Daniël Hamerslag', 'Afra Baas', 'Juno Prent']",[¬Re] Reproducibility Study of 'Exacerbating Algorithmic Bias through Fairness Attacks',10.5281/zenodo.6574663,Replication,Python,https://zenodo.org/record/6574663/files/article.pdf,rescience c machine learning deep learning python,https://openreview.net/forum?id=rKbgh3fXnRK,https://github.com/DCHamerslag/FACT,8,2,2022
"['Guilly Kolkman', 'Jan Athmer', 'Alex Labro', 'Maksymilian Kulicki']",[Re] Strategic classification made practical: reproduction,10.5281/zenodo.6574665,Replication,Python,https://zenodo.org/record/6574665/files/article.pdf,rescience c machine learning deep learning python pytorch,https://openreview.net/forum?id=rNgg03fXnRY,https://github.com/GuillyK/FACT-ai,8,2,2022
"['Evaline Bosch', 'Rutger Ettes', 'Daan Korporaal', 'Gijs van Meer']",[Re] Replication study of 'Explaining in Style: Training a GAN to explain a classifier in StyleSpace',10.5281/zenodo.6574667,Replication,Python,https://zenodo.org/record/6574667/files/article.pdf,rescience c machine learning deep learning python pytorch AI GANs SyleSpace reconstruction,https://openreview.net/forum?id=BtIz0nz7hRY,https://github.com/Gijsvanmeer/FACTinAI,8,2,2022
"['Matteo Tafuro', 'Andrea Lombardo', 'Tin Hadži Veljković', 'Lasse Becker-Czarnetzki']",[Re] Exacerbating Algorithmic Bias through Fairness Attacks,10.5281/zenodo.6574669,Replication,python,https://zenodo.org/record/6574669/files/article.pdf,rescience c rescience x reproducibility machine learning deep learning fairness python tensorflow adversarial attack fairness attack algorithmic bias influence attack on fairness anchoring attack,https://openreview.net/forum?id=H4lzChGmhCK,https://github.com/imandrealombardo/FACT-AI,8,2,2022
['Andra\\vz De~Luisa'],[Re] Thompson Sampling for Bandits with Clustered Arms,10.5281/zenodo.6574671,Replication,R,https://zenodo.org/record/6574671/files/article.pdf,Multi-armed bandits Thompson sampling R rescience c machine learning,https://openreview.net/forum?id=r5LS3fmh0t,https://github.com/andrazdeluisa/reproducibility_challenge,8,2,2022
"['Diego van der Mast', 'Soufiane Ben Haddou', 'Jacky Chu', 'Jaap Stefels']","[Re] Replication Study of ""Fairness and Bias in Online Selection""",10.5281/zenodo.6574673,Replication,Python,https://zenodo.org/record/6574673/files/article.pdf,rescience c rescience x Python machine learning fairness,https://openreview.net/forum?id=SNeep2MXn0K,https://github.com/Di-ayy-go/fact-ai,8,2,2022
"['Andy Chen', 'Shion Matsumoto', 'Rohan Sinha Varma']",[Re] Projection-based Algorithm for Updating the TruncatedSVD of Evolving Matrices,10.5281/zenodo.6574675,Replication,Python,https://zenodo.org/record/6574675/files/article.pdf,rescience c machine learning python pytorch,https://openreview.net/forum?id=HN2xWpMQ30K,https://github.com/andyzfchen/truncatedSVD,8,2,2022
"['Aryan Mehta', 'Karan Uppal', 'Kaushal Jadhav', 'Monish Natarajan', 'Mradul Agrawal', 'Debashish Chakravarty']",[Re] Background-Aware Pooling and Noise-Aware Loss for Weakly-Supervised Semantic Segmentation,10.5281/zenodo.6574677,Replication,Python,https://zenodo.org/record/6574677/files/article.pdf,rescience c machine learning deep learning python pytorch,https://openreview.net/forum?id=rUQllTGQhAY,https://github.com/karan-uppal3/BANA,8,2,2022
['Szymon Mikler'],[Re] Reproducibility Study: Comparing Rewinding and Fine-tuning in Neural Network Pruning,10.5281/zenodo.6574679,Replication,Python,https://zenodo.org/record/6574679/files/article.pdf,rescience c machine learning deep learning python tensorflow computer vision pruning,https://openreview.net/forum?id=HxWEL2zQ3AK,https://github.com/gahaalt/reproducing-comparing-rewinding-and-finetuning,8,2,2022
"['Angelos Nalmpantis', 'Apostolos Panagiotopoulos', 'John Gkountouras', 'Konstantinos Papakostas']",[Re] Exacerbating Algorithmic Bias through Fairness Attacks,10.5281/zenodo.6574681,Replication,Python,https://zenodo.org/record/6574681/files/article.pdf,rescience c machine learning python pytorch fairness adversarial attacks,https://openreview.net/forum?id=rYLMJ6zX3RF,https://github.com/toliz/fairness-attacks,8,2,2022
"['Vera Neplenbroek', 'Sabijn Perdijk', 'Victor Prins']",[Re] Replication study of 'Data-Driven Methods for Balancing Fairness and Efficiency in Ride-Pooling',10.5281/zenodo.6574683,Replication,Python,https://zenodo.org/record/6574683/files/article.pdf,rescience c machine learning deep learning python pytorch ridesharing fairness,https://openreview.net/forum?id=BEhgn2zm3CK,https://github.com/Veranep/rideshare-replication,8,2,2022
"['Alessio Galatolo', 'Alfred Nilsson']",[Re] Replicating and Improving GAN2Shape Through Novel Shape Priors and Training Steps,10.5281/zenodo.6574685,Replication,Python,https://zenodo.org/record/6574685/files/article.pdf,rescience c machine learning deep learning python pytorch gan2shape 3d,https://openreview.net/forum?id=B8mxkTzX2RY,https://github.com/alessioGalatolo/GAN-2D-to-3D,8,2,2022
"['Siba Smarak Panigrahi', 'Sohan Patnaik']",[Re] Value Alignment Verification,10.5281/zenodo.6574687,Replication,Python,https://zenodo.org/record/6574687/files/article.pdf,rescience c value alignment verification reinforcement learning machine learning python,https://openreview.net/forum?id=BFLM3nMmhCt,https://github.com/AIExL/vav_rc2021,8,2,2022
"['Roxana Petcu', 'Pim Praat', 'Jeroen Wijnen', 'Manolis Rerres']","[Re] Replication Study of ""Fairness and Bias in Online Selection""",10.5281/zenodo.6574689,Replication,Python,https://zenodo.org/record/6574689/files/article.pdf,rescience c machine learning online selection prophet problem secretary problem fairness bias Python,https://openreview.net/forum?id=S9gs3MmhAY,https://github.com/pimpraat/FACT-Ai,8,2,2022
"['Nils Peters', 'Joy Crosbie', ""Rachel van\\'t Hull"", 'Marius Strampel']",[¬Re] Reproducing 'Fair Selective Classification via Sufficiency',10.5281/zenodo.6574691,Replication,Python 3,https://zenodo.org/record/6574691/files/article.pdf,rescience c classification selective classification sufficiency machine learning Python 3,https://openreview.net/forum?id=r9Leh2M7hCt,https://github.com/MLRC2022FSCS/FSCS,8,2,2022
"['Rohit Ranjan', 'Himadri Bhakta', 'Animesh Jha', 'Parv Maheshwari']",[Re] Differentiable Spatial Planning using Transformers,10.5281/zenodo.6574693,Replication,Python,https://zenodo.org/record/6574693/files/article.pdf,rescience c machine learning deep learning python pytorch,https://openreview.net/forum?id=HFUI1pfQnCF,https://github.com/sirmisscriesalot/Differentiable-Spatial-Planning-using-Transformers,8,2,2022
"['Nick Rucks', 'Tobias Uelwer', 'Stefan Harmeling']",[Re] Solving Phase Retrieval With a Learned Reference,10.5281/zenodo.6574695,Replication,Python,https://zenodo.org/record/6574695/files/article.pdf,rescience c phase retrieval machine learning python pytorch,https://openreview.net/forum?id=rlWzUnM72RF,https://github.com/tuelwer/machine-learning-reproducibility-challenge-2021,8,2,2022
"['Roopsa Sen', 'Sidharth Sinha', 'Animesh Jha', 'Parv Maheshwari']",[Re] Reproducibility Report: Contrastive Learning of Socially-aware Motion Representations,10.5281/zenodo.6574697,Replication,Python,https://zenodo.org/record/6574697/files/article.pdf,rescience c machine learning deep learning python pytorch,https://openreview.net/forum?id=SIQEl6f7h0Y,https://github.com/RoopsaSen/social-nce-trajectron-plus-plus,8,2,2022
"['Abhishek Shukla', 'Sourya Roy', 'Yogesh Chawla', 'Avi Amalanshu', 'Shubhendu Pandey', 'Rudransh Agrawal', 'Aditya Uppal', 'Viswesh N', 'Pradipto Mondal', 'Anubhab Dasgupta', 'Debashis Chakravarty']","[Re] From goals, waypoints and paths to longterm human trajectory forecasting",10.5281/zenodo.6574699,Replication,Python,https://zenodo.org/record/6574699/files/article.pdf,rescience c trajectory prediction machine learning deep learning python pytorch,https://openreview.net/forum?id=HV2zgpM7n0F,https://github.com/Viswesh-N/MLRC-2021,8,2,2022
"['Vid Stropnik', 'Maruša Oražem']",[Re] Graph Edit Networks,10.5281/zenodo.6574701,Replication,Python,https://zenodo.org/record/6574701/files/article.pdf,machine learning network analysis graph machine learning pytorch python rescience c,https://openreview.net/forum?id=H5lOnzXhAY,https://github.com/MarusaOrazem/reproducibility_challenge,8,2,2022
"['Maša Kljun', 'Matija Teršek', 'Domen Vreš']",[Re] Learning to count everything,10.5281/zenodo.6574703,Replication,Python,https://zenodo.org/record/6574703/files/article.pdf,few-shot learning few-shot counting CNN counting data set rescience c machine learning python,https://openreview.net/forum?id=HKbgd3zmh0t,https://github.com/tersekmatija/re-LearningToCountEverything,8,2,2022
"['Jille van der Togt', 'Lea Tiyavorabun', 'Matteo Rosati', 'Giulio Starace']",[Re] Badder Seeds: Reproducing the Evaluation of Lexical Methods for Bias Measurement,10.5281/zenodo.6574705,Replication,Python,https://zenodo.org/record/6574705/files/article.pdf,rescience c machine learning deep learning python pytorch nlp bias seeds,https://openreview.net/forum?id=HcIxA3Mm2CF,https://github.com/thesofakillers/badder-seeds,8,2,2022
['Žiga Trojer'],[Re] Transparent Object Tracking Benchmark,10.5281/zenodo.6574707,Replication,Python Matlab,https://zenodo.org/record/6574707/files/article.pdf,rescience c machine learning deep learning tracking computer vision python pytorch matlab,https://openreview.net/forum?id=HxZZV3MQ20Y,https://github.com/trojerz/TOTB-reproducability,8,2,2022
"['Noah van der Vleuten', 'Tadija Radusinović', 'Rick Akkerman', 'Meilina Reksoprodjo']",[Re] Explaining in Style: Training a GAN to explain a classifier in StyleSpace,10.5281/zenodo.6574709,Replication,Python,https://zenodo.org/record/6574709/files/article.pdf,rescience c machine learning deep learning python pytorch explainable ai xai gan stylegan2 stylex,https://openreview.net/forum?id=SYUxyazQh0Y,https://github.com/NoahVl/Explaining-In-Style-Reproducibility-Study,8,2,2022
"['Velizar Shulev', 'Paul Verhagen', 'Shuai Wang', 'Jennifer Zhuge']",[Re] Replication Study of DECAF: Generating Fair Synthetic Data Using Causally-Aware Generative Networks,10.5281/zenodo.6574711,Replication,Python,https://zenodo.org/record/6574711/files/article.pdf,rescience c machine learning deep learning python pytorch reproducibility causal graphs debiasing,https://openreview.net/forum?id=SVx46hzmhRK,https://github.com/ShuaiWang97/UvA_FACT2022,8,2,2022
"['Alfonso Taboada Warmerdam', 'Lodewijk Loerakker', 'Lucas Meijer', 'Ole Nissen']",[Re] Privacy-preserving collaborative learning with automatic transformation search,10.5281/zenodo.6574713,Replication,Python,https://zenodo.org/record/6574713/files/article.pdf,rescience c machine learning deep learning python pytorch,https://openreview.net/forum?id=S9Iepnz7hRY,https://github.com/Linkerbrain/fact-ai-2021-project,8,2,2022
"['Romana Isabelle Wilschut', 'Thomas Paul Alexandre Wiggers', 'Roman Sebastiaan Oort', 'Thomas Arthur van Orden']",[Re] Robust Counterfactual Explanations on Graph Neural Networks,10.5281/zenodo.6574715,Replication,Python,https://zenodo.org/record/6574715/files/article.pdf,counterfactual explanations GNN robust graph neural networks interpretation explainable AI decision logic reproducibility python rescience c machine learning,https://openreview.net/forum?id=HWNgihGX20Y,https://github.com/RomanOort/FACTAI,8,2,2022
"['Doğa Yılmaz', 'Furkan Kınlı', 'Barış Özcan', 'Furkan Kıraç']",[Re] Lifting 2D StyleGAN for 3D-Aware Face Generation,10.5281/zenodo.6574719,Replication,Python,https://zenodo.org/record/6574719/files/article.pdf,face generation generative networks machine learning rescience c,https://openreview.net/forum?id=BcNonfQ3RY,https://github.com/yilmazdoga/lifting-2d-stylegan-for-3d-aware-face-generation,8,2,2022
['Urša Zrimšek'],[Re] Learning Unknown from Correlations: Graph Neural Network for Inter-novel-protein Interaction Prediction,10.5281/zenodo.6574721,Replication,Python,https://zenodo.org/record/6574721/files/article.pdf,multi-type inter-novel-protein interaction graph neural networks fair evaluation python rescience c replication machine learning,https://openreview.net/forum?id=Hc8GOhfmhRF,https://github.com/zrimseku/Reproducibility-Challenge,8,2,2022
"['Waqas Ahmed', 'Sheeba Samuel']",[Re] Nondeterminism and Instability in Neural Network Optimization,10.5281/zenodo.6574623,Replication,Python,https://zenodo.org/record/6574623/files/article.pdf,rescience c machine learning deep learning python pytorch,https://openreview.net/forum?id=BNefkaG73At,https://github.com/wi25hoy/MLRC21_Nondeterminism,8,2,2022
"['Rajeev Verma', 'Jim J. O. Wagemans', 'Paras Dahal', 'Auke Elfrink']",[Re] Explaining Groups of Points in Low-Dimensional Representations,10.5281/zenodo.4835602,Replication,Python,https://zenodo.org/record/4835602/files/article.pdf,rescience c rescience x,https://openreview.net/forum?id=cqAHExg2f,https://github.com/elfrink1/FACT,7,2,2021
"['Georgios Albanis', 'Nikolaos Zioulis', 'Anargyros Chatzitofis', 'Anastasios Dimou', 'Dimitrios Zarpalas', 'Petros Daras']",[Re] On end-to-end 6{DoF} object pose estimation and robustness to object scale,10.5281/zenodo.4833219,Replication,Python,https://zenodo.org/record/4833219/files/article.pdf,rescience c rescience x  python pytorch object pose estimation,https://openreview.net/forum?id=PCpGvUrwfQB,https://github.com/tzole1155/EndToEndObjectPose,7,2,2021
"['Mayur Arvind', 'Mustansir Mama']",[Re] Neural Networks Fail to Learn Periodic Functions and How to Fix It,10.5281/zenodo.4833389,Replication,python,https://zenodo.org/record/4833389/files/article.pdf,periodic functions activation python,https://openreview.net/forum?id=ysFCiXtCOj,https://github.com/mayurak47/Reproducibility_Challenge,7,2,2021
"['Tobias Teule', 'Nienke Reints', 'Chris Al Gerges', 'Pauline Baanders']",[Re] Deep Fair Clustering for Visual Learning,10.5281/zenodo.4833547,Replication,python,https://zenodo.org/record/4833547/files/article.pdf,rescience c rescience xpython Deep clustering,https://openreview.net/forum?id=DXVAJGohUKs,https://github.com/topteulen/UVA-FACT,7,2,2021
"['Prateek Garg', 'Lakshya Singhal', 'Ashish Sardana']",[Re] Training Binary Neural Networks using the Bayesian Learning Rule,10.5281/zenodo.4833681,Replication,Python,https://zenodo.org/record/4833681/files/article.pdf,rescience c machine learning deep learning binary neural network python pytorch,https://openreview.net/forum?id=bhiGno-Cxq,https://github.com/prateekstark/training-binary-neural-network,7,2,2021
"['Rahel Habacker', 'Andrew Harrison', 'Mathias Parisot', 'Ard Snijders']",[Re] Reproducing Learning to Deceive With Attention-Based Explanations,10.5281/zenodo.4834146,Replication,Python 3,https://zenodo.org/record/4834146/files/article.pdf,rescience c rescience x Python,https://openreview.net/forum?id=-rn9m0Gt6AQ,https://github.com/MatPrst/deceptive-attention-reproduced,7,2,2021
"['Lars Holdijk', 'Maarten Boon', 'Stijn Henckens', 'Lysander de Jong']",[Re] Parameterized Explainer for Graph Neural Network,10.5281/zenodo.4834242,Replication,English,https://zenodo.org/record/4834242/files/article.pdf,rescience c rescience x,https://openreview.net/forum?id=8JHrucviUf,https://github.com/LarsHoldijk/RE-ParameterizedExplainerForGraphNeuralNetworks,7,2,2021
"['Sunnie S. Y. Kim', 'Sharon Zhang', 'Nicole Meister', 'Olga Russakovsky']",[Re] Don't Judge an Object by Its Context: Learning to Overcome Contextual Bias,10.5281/zenodo.4834352,Replication,Python,https://zenodo.org/record/4834352/files/article.pdf,rescience c rescience x,https://openreview.net/forum?id=PRXM8-O9PKd,https://github.com/princetonvisualai/ContextualBias,7,2,2021
"['Ci Li', 'Ruibo Tu', 'Hui Zhang']",[Re] Reimplementation of FixMatch and Investigation on Noisy (Pseudo) Labels and Confirmation Errors of FixMatch,10.5281/zenodo.4834442,Replication,Python,https://zenodo.org/record/4834442/files/article.pdf,rescience c rescience x,https://openreview.net/forum?id=3VXeifKSaTE,https://github.com/Celiali/FixMatch.git,7,2,2021
"['Toomas Liiv', 'Einar Lennelöv', 'Aron Norén']",[Re] A Reproduction of Ensemble Distribution Distillation,10.5281/zenodo.4834516,Replication,Python,https://zenodo.org/record/4834516/files/article.pdf,rescience c rescience x uncertainty estimation ensemble distribution distillation tensorflow,https://openreview.net/forum?id=p1BXNUcTFsN,https://github.com/lennelov/endd-reproduce,7,2,2021
"['Kevin Stephen', 'Varun Menon']",[Re] Learning Memory Guided Normality for Anomaly Detection,10.5281/zenodo.4834610,Replication,Python,https://zenodo.org/record/4834610/files/article.pdf,rescience c rescience x,https://openreview.net/forum?id=vvLWTXkJ2Zv,https:/github.com/alchemi5t/MNADrc,7,2,2021
"['Sami Menteş', 'Furkan Kınlı', 'Barış Özcan', 'Furkan Kıraç']",[Re] Spatial-Adaptive Network for Single Image Denoising,10.5281/zenodo.4834672,Replication,Python,https://zenodo.org/record/4834672/files/article.pdf,image denoising image restoration image processing,https://openreview.net/forum?id=yiAI9QN9nYt&noteId=SMFjCY6qG8,https://github.com/sami-automatic/SADNet_Replication,7,2,2021
"['David Mizrahi', 'Oğuz Kaan Yüksel', 'Aiday Marlen Kyzy']",[Re] Can gradient clipping mitigate label noise?,10.5281/zenodo.4834744,Replication,Python,https://zenodo.org/record/4834744/files/article.pdf,rescience c machine learning deep learning label noise python pytorch,https://openreview.net/forum?id=TM_SgwWJA23,https://github.com/dmizr/phuber,7,2,2021
"['Klim Kireev', 'Amirkeivan Mohtashami', 'Ehsan Pajouheshgar']",[Re] Warm-Starting Neural Network Training,10.5281/zenodo.4834856,Replication,python,https://zenodo.org/record/4834856/files/article.pdf,warm-starting generalization deep learning,https://openreview.net/forum?id=N43DVxrjCw,https://github.com/CS-433/cs-433-project-2-fesenjoon,7,2,2021
"['Jishnu Jaykumar P', 'Ashish Sardana']",[Re] Improving Multi-hop Question Answering over Knowledge Graphs using Knowledge Base Embeddings,10.5281/zenodo.4834942,Replication,Python,https://zenodo.org/record/4834942/files/article.pdf,knowledge graph embeddings multi-hop question-answering deep learning,https://openreview.net/forum?id=VFAwCMdWY7,https://github.com/jishnujayakumar/MLRC2020-EmbedKGQA,7,2,2021
"['Damiaan J. W. Reijnaers', 'Daniël B. van de Pavert', 'Giguru Scheuer', 'Liang Huang']",[Re] Explaining Groups of Points in Low-Dimensional Representations,10.5281/zenodo.4835056,Replication,Python,https://zenodo.org/record/4835056/files/article.pdf,rescience c rescience x python counterfactual explanations transitive global translations dimensionality reduction explainable artificial intelligence,https://openreview.net/forum?id=hq3TxQK5cox,https://github.com/damiaanr/fact-ai,7,2,2021
"['Hidde Lekanne gezegd Deprez', 'Geerten Rijsdijk', 'Bart de Rooij', 'Wouter Zwerink']",[Re] Reproducing 'Identifying through flows for recovering latent representations',10.5281/zenodo.4839595,Replication,Python 3,https://zenodo.org/record/4839595/files/article.pdf,identifiability iFlow iVAE Normalizing Flows Python 3,https://openreview.net/forum?id=8jmIpypMzE,https://github.com/HiddeLekanne/Reproducibility-Challenge-iFlow,7,2,2021
"['Carles Balsells Rodas', 'Oleguer Canal Anton', 'Federico Taschin']",[Re] Hamiltonian Generative Networks,10.5281/zenodo.4835278,Replication,Python,https://zenodo.org/record/4835278/files/article.pdf,Hamiltonian generative network variational python pytorch,https://openreview.net/forum?id=Zszk4rXgesL,https://github.com/CampusAI/Hamiltonian-Generative-Networks,7,2,2021
"['Maja Schneider', 'Marco Körner']",[Re] Satellite Image Time Series Classification with Pixel-Set Encoders and Temporal Self-Attention,10.5281/zenodo.4835356,Replication,python,https://zenodo.org/record/4835356/files/article.pdf,rescience c rescience x python transformer self-attention time series crop classification earth observation,,https://github.com/maja601/pytorch-psetae,7,2,2021
"['Arsen Sheverdin', 'Alko Knijff', 'Noud Corten', 'Georg Lange']","[Re] Reproducibility report of ""Interpretable Complex-Valued Neural Networks for Privacy Protection""",10.5281/zenodo.4835431,Replication,Python,https://zenodo.org/record/4835431/files/article.pdf,rescience c rescience x machine learning deep complex valued neural network python pytorch,https://openreview.net/forum?id=P30M7d9DyXw,https://github.com/GANA-FACT-AI/gana-fact-ai,7,2,2021
"['Varun Sundar', 'Rajat Vadiraj Dwaraknath']",[Re] Rigging the Lottery: Making All Tickets Winners,10.5281/zenodo.4835564,Replication,Python,https://zenodo.org/record/4835564/files/article.pdf,rescience c rescience x python pytorch sparse-networks,https://openreview.net/forum?id=riCIeP6LzEE,https://github.com/varun19299/rigl-reproducibility,7,2,2021
"['Pieter Bouwman', 'Yun Li', 'Rogier van der Weerd', 'Frank Verhoef']",[Re] Reproducibility study - Does enforcing diversity in hidden states of LSTM-Attention models improve transparency?,10.5281/zenodo.4835592,Replication,Python,https://zenodo.org/record/4835592/files/article.pdf,Attention NLP Transparency Explainability Faithfulness Plausibility Reproducibility LSTM ReScience,https://openreview.net/forum?id=lE0wqKGROKa,https://github.com/MotherOfUnicorns/FACT_AI_project,7,2,2021
"['Ivo Verhoeven', 'Xinyi Chen', 'Qingzhi Hu', 'Mario Holubar']",[Re] Replication Study of 'Generative causal explanations of black-box classifiers',10.5281/zenodo.4835600,Replication,python,https://zenodo.org/record/4835600/files/article.pdf,rescience c rescience x python causal explanations variational  autoencoders  explainable  artificial  intelligence post-hoc explanation,https://openreview.net/forum?id=Vqtf4kZg2j,https://github.com/shin-ee-chen/UvA_FACT_2021,7,2,2021
